Scientific Colour Map Categorical Palette
bilbao 100 scrambled Swatches
248 248 248	bilbao-1 #F8F8F8
 77   0   1	bilbao-251 #4D0001
169 133 101	bilbao-126 #A98565
192 186 162	bilbao-63 #C0BAA2
146  73  70	bilbao-189 #924946
161 105  89	bilbao-157 #A16959
179 162 121	bilbao-95 #B3A279
114  38  37	bilbao-220 #722625
211 210 205	bilbao-32 #D3D2CD
156  90  81	bilbao-173 #9C5A51
186 176 141	bilbao-79 #BAB08D
174 147 108	bilbao-110 #AE936C
229 229 228	bilbao-16 #E5E5E4
 96  21  22	bilbao-235 #601516
165 119  95	bilbao-141 #A5775F
131  56  55	bilbao-204 #833837
200 196 184	bilbao-47 #C8C4B8
163 112  92	bilbao-149 #A3705C
171 140 104	bilbao-118 #AB8C68
 86  10  13	bilbao-243 #560A0D
151  82  76	bilbao-181 #97524C
159  98  85	bilbao-165 #9F6255
220 219 217	bilbao-24 #DCDBD9
196 191 173	bilbao-55 #C4BFAD
123  47  46	bilbao-212 #7B2F2E
183 170 131	bilbao-87 #B7AA83
189 181 152	bilbao-71 #BDB598
139  65  63	bilbao-196 #8B413F
238 238 238	bilbao-9 #EEEEEE
205 203 195	bilbao-39 #CDCBC3
167 126  98	bilbao-134 #A77E62
176 154 113	bilbao-103 #B09A71
104  29  29	bilbao-228 #681D1D
149  78  73	bilbao-185 #954E49
194 188 167	bilbao-59 #C2BCA7
154  86  79	bilbao-177 #9A564F
 81   5   8	bilbao-247 #510508
118  42  42	bilbao-216 #762A2A
225 224 223	bilbao-20 #E1E0DF
181 166 126	bilbao-91 #B5A67E
178 158 117	bilbao-99 #B29E75
160 102  87	bilbao-161 #A06657
164 116  93	bilbao-145 #A4745D
136  60  59	bilbao-200 #883C3B
188 179 146	bilbao-75 #BCB392
202 200 189	bilbao-43 #CAC8BD
215 215 211	bilbao-28 #D7D7D3
127  51  50	bilbao-208 #7F3332
191 184 157	bilbao-67 #BFB89D
172 144 106	bilbao-114 #AC906A
168 129  99	bilbao-130 #A88163
198 194 178	bilbao-51 #C6C2B2
157  94  83	bilbao-169 #9D5E53
170 136 102	bilbao-122 #AA8866
243 243 243	bilbao-5 #F3F3F3
 91  16  18	bilbao-239 #5B1012
185 173 136	bilbao-83 #B9AD88
109  33  33	bilbao-224 #6D2121
162 109  90	bilbao-153 #A26D5A
175 151 111	bilbao-106 #AF976F
233 233 232	bilbao-13 #E9E9E8
209 207 201	bilbao-35 #D1CFC9
101  25  26	bilbao-231 #65191A
166 122  96	bilbao-138 #A67A60
142  69  66	bilbao-193 #8E4542
155  88  80	bilbao-175 #9B5850
144  71  68	bilbao-191 #904744
174 149 109	bilbao-108 #AE956D
159 100  86	bilbao-163 #9F6456
218 217 214	bilbao-26 #DAD9D6
 93  18  20	bilbao-237 #5D1214
199 195 181	bilbao-49 #C7C3B5
190 183 154	bilbao-69 #BEB79A
133  58  57	bilbao-202 #853A39
171 138 103	bilbao-120 #AB8A67
147  75  71	bilbao-187 #934B47
180 164 123	bilbao-93 #B4A47B
192 185 159	bilbao-65 #C0B99F
241 241 240	bilbao-7 #F1F1F0
158  96  84	bilbao-167 #9E6054
173 145 107	bilbao-112 #AD916B
172 142 105	bilbao-116 #AC8E69
162 107  89	bilbao-155 #A26B59
227 227 225	bilbao-18 #E3E3E1
185 175 139	bilbao-81 #B9AF8B
125  49  48	bilbao-210 #7D3130
153  84  77	bilbao-179 #99544D
207 205 198	bilbao-37 #CFCDC6
204 201 192	bilbao-41 #CCC9C0
213 212 208	bilbao-30 #D5D4D0
246 246 246	bilbao-3 #F6F6F6
169 131 100	bilbao-128 #A98364
150  80  75	bilbao-183 #96504B
129  54  52	bilbao-206 #813634
165 118  94	bilbao-143 #A5765E
197 192 175	bilbao-53 #C5C0AF
157  92  82	bilbao-171 #9D5C52
195 190 170	bilbao-57 #C3BEAA
193 187 165	bilbao-61 #C1BBA5
201 198 186	bilbao-45 #C9C6BA
