Scientific Colour Map Categorical Palette
grayC 100 scrambled Swatches
249 249 249	grayC-1 #F9F9F9
  6   6   6	grayC-247 #060606
118 118 118	grayC-124 #767676
182 182 182	grayC-62 #B6B6B6
 60  60  60	grayC-186 #3C3C3C
 89  89  89	grayC-155 #595959
150 150 150	grayC-93 #969696
 35  35  35	grayC-216 #232323
215 215 215	grayC-32 #D7D7D7
103 103 103	grayC-140 #676767
198 198 198	grayC-47 #C6C6C6
232 232 232	grayC-16 #E8E8E8
134 134 134	grayC-108 #868686
 22  22  22	grayC-232 #161616
 47  47  47	grayC-201 #2F2F2F
 75  75  75	grayC-170 #4B4B4B
166 166 166	grayC-77 #A6A6A6
 67  67  67	grayC-178 #434343
126 126 126	grayC-116 #7E7E7E
 29  29  29	grayC-224 #1D1D1D
224 224 224	grayC-24 #E0E0E0
158 158 158	grayC-85 #9E9E9E
111 111 111	grayC-132 #6F6F6F
 95  95  95	grayC-148 #5F5F5F
141 141 141	grayC-101 #8D8D8D
 41  41  41	grayC-209 #292929
 16  16  16	grayC-239 #101010
 81  81  81	grayC-163 #515151
206 206 206	grayC-40 #CECECE
190 190 190	grayC-55 #BEBEBE
 54  54  54	grayC-193 #363636
241 241 241	grayC-8 #F1F1F1
175 175 175	grayC-69 #AFAFAF
 11  11  11	grayC-243 #0B0B0B
 85  85  85	grayC-159 #555555
162 162 162	grayC-81 #A2A2A2
171 171 171	grayC-73 #ABABAB
 44  44  44	grayC-205 #2C2C2C
 32  32  32	grayC-220 #202020
107 107 107	grayC-136 #6B6B6B
210 210 210	grayC-36 #D2D2D2
228 228 228	grayC-20 #E4E4E4
 64  64  64	grayC-182 #404040
114 114 114	grayC-128 #727272
 26  26  26	grayC-228 #1A1A1A
237 237 237	grayC-12 #EDEDED
122 122 122	grayC-120 #7A7A7A
154 154 154	grayC-89 #9A9A9A
 71  71  71	grayC-174 #474747
194 194 194	grayC-51 #C2C2C2
130 130 130	grayC-112 #828282
146 146 146	grayC-97 #929292
 51  51  51	grayC-197 #333333
219 219 219	grayC-28 #DBDBDB
 99  99  99	grayC-144 #636363
 77  77  77	grayC-167 #4D4D4D
 92  92  92	grayC-151 #5C5C5C
203 203 203	grayC-43 #CBCBCB
186 186 186	grayC-58 #BABABA
137 137 137	grayC-105 #898989
 19  19  19	grayC-236 #131313
 58  58  58	grayC-189 #3A3A3A
246 246 246	grayC-4 #F6F6F6
179 179 179	grayC-65 #B3B3B3
 38  38  38	grayC-212 #262626
 53  53  53	grayC-195 #353535
152 152 152	grayC-91 #989898
113 113 113	grayC-130 #717171
 69  69  69	grayC-176 #454545
 33  33  33	grayC-218 #212121
164 164 164	grayC-79 #A4A4A4
 87  87  87	grayC-157 #575757
 14  14  14	grayC-241 #0E0E0E
230 230 230	grayC-18 #E6E6E6
105 105 105	grayC-138 #696969
144 144 144	grayC-99 #909090
173 173 173	grayC-71 #ADADAD
184 184 184	grayC-60 #B8B8B8
 56  56  56	grayC-191 #383838
  9   9   9	grayC-245 #090909
208 208 208	grayC-38 #D0D0D0
 62  62  62	grayC-184 #3E3E3E
201 201 201	grayC-45 #C9C9C9
 21  21  21	grayC-234 #151515
 49  49  49	grayC-199 #313131
139 139 139	grayC-103 #8B8B8B
 79  79  79	grayC-165 #4F4F4F
128 128 128	grayC-114 #808080
 46  46  46	grayC-203 #2E2E2E
168 168 168	grayC-75 #A8A8A8
235 235 235	grayC-14 #EBEBEB
109 109 109	grayC-134 #6D6D6D
 30  30  30	grayC-222 #1E1E1E
213 213 213	grayC-34 #D5D5D5
148 148 148	grayC-95 #949494
 83  83  83	grayC-161 #535353
244 244 244	grayC-6 #F4F4F4
 27  27  27	grayC-226 #1B1B1B
 73  73  73	grayC-172 #494949
120 120 120	grayC-122 #787878
