Scientific Colour Map Categorical Palette
lapaz 100 scrambled Swatches
 26  12 100	lapaz-1 #1A0C64
254 242 243	lapaz-256 #FEF2F3
 92 140 163	lapaz-129 #5C8CA3
 45  83 147	lapaz-65 #2D5393
181 173 150	lapaz-193 #B5AD96
 61 113 160	lapaz-97 #3D71A0
 36  50 126	lapaz-33 #24327E
134 158 155	lapaz-161 #869E9B
235 207 187	lapaz-225 #EBCFBB
210 187 162	lapaz-209 #D2BBA2
112 151 160	lapaz-145 #7097A0
 51  98 155	lapaz-81 #33629B
 75 128 163	lapaz-113 #4B80A3
 32  32 113	lapaz-17 #202071
156 165 150	lapaz-177 #9CA596
 40  66 137	lapaz-49 #284289
249 226 216	lapaz-241 #F9E2D8
244 217 201	lapaz-233 #F4D9C9
123 155 158	lapaz-153 #7B9B9E
 34  41 120	lapaz-25 #222978
 29  23 107	lapaz-9 #1D176B
102 146 162	lapaz-137 #6692A2
 83 134 164	lapaz-121 #5386A4
223 197 173	lapaz-217 #DFC5AD
145 162 152	lapaz-169 #91A298
 67 121 162	lapaz-105 #4379A2
 56 106 158	lapaz-89 #386A9E
 42  75 142	lapaz-57 #2A4B8E
195 179 154	lapaz-201 #C3B39A
 38  58 132	lapaz-41 #263A84
168 168 149	lapaz-185 #A8A895
 48  91 151	lapaz-73 #305B97
252 235 230	lapaz-249 #FCEBE6
 43  79 145	lapaz-61 #2B4F91
 35  45 123	lapaz-29 #232D7B
 58 110 159	lapaz-93 #3A6E9F
 46  87 149	lapaz-69 #2E5795
151 163 151	lapaz-173 #97A397
 30  28 110	lapaz-13 #1E1C6E
 53 102 156	lapaz-85 #35669C
 64 117 161	lapaz-101 #4075A1
240 212 194	lapaz-229 #F0D4C2
 97 143 163	lapaz-133 #618FA3
188 176 152	lapaz-197 #BCB098
139 160 154	lapaz-165 #8BA09A
202 183 157	lapaz-205 #CAB79D
 37  54 129	lapaz-37 #253681
251 231 223	lapaz-245 #FBE7DF
217 192 167	lapaz-213 #D9C0A7
 28  18 104	lapaz-5 #1C1268
 87 137 164	lapaz-125 #5789A4
 71 124 163	lapaz-109 #477CA3
128 157 157	lapaz-157 #809D9D
 41  71 140	lapaz-53 #29478C
118 153 159	lapaz-149 #76999F
162 166 150	lapaz-181 #A2A696
107 148 161	lapaz-141 #6B94A1
 79 131 164	lapaz-117 #4F83A4
 33  37 117	lapaz-21 #212575
174 170 149	lapaz-189 #AEAA95
 49  94 153	lapaz-77 #315E99
230 202 180	lapaz-221 #E6CAB4
247 222 209	lapaz-237 #F7DED1
 39  62 135	lapaz-45 #273E87
254 239 237	lapaz-253 #FEEFED
 31  30 112	lapaz-15 #1F1E70
 43  77 144	lapaz-59 #2B4D90
 85 136 164	lapaz-123 #5588A4
250 229 220	lapaz-243 #FAE5DC
191 177 153	lapaz-199 #BFB199
 77 129 163	lapaz-115 #4D81A3
 55 104 157	lapaz-87 #37689D
 32  35 115	lapaz-19 #202373
171 169 149	lapaz-187 #ABA995
 99 144 162	lapaz-135 #6390A2
 40  69 139	lapaz-51 #28458B
 73 126 163	lapaz-111 #497EA3
 38  60 133	lapaz-43 #263C85
184 174 151	lapaz-195 #B8AE97
 62 115 161	lapaz-99 #3E73A1
248 224 212	lapaz-239 #F8E0D4
 27  15 102	lapaz-3 #1B0F66
220 194 170	lapaz-215 #DCC2AA
137 159 154	lapaz-163 #899F9A
110 149 161	lapaz-143 #6E95A1
142 161 153	lapaz-167 #8EA199
165 167 149	lapaz-183 #A5A795
 34  43 121	lapaz-27 #222B79
237 210 190	lapaz-227 #EDD2BE
 28  20 105	lapaz-7 #1C1469
 50  96 154	lapaz-79 #32609A
 41  73 141	lapaz-55 #29498D
245 219 205	lapaz-235 #F5DBCD
 35  48 124	lapaz-31 #23307C
120 154 159	lapaz-151 #789A9F
148 162 152	lapaz-171 #94A298
131 158 156	lapaz-159 #839E9C
227 199 176	lapaz-219 #E3C7B0
 33  39 118	lapaz-23 #212776
206 185 159	lapaz-207 #CEB99F
