Scientific Colour Map Categorical Palette
imola 100 scrambled Swatches
 26  51 179	imola-1 #1A33B3
255 255 102	imola-256 #FFFF66
 83 133 127	imola-128 #53857F
145 195 111	imola-192 #91C36F
 48  94 157	imola-65 #305E9D
 37  73 168	imola-33 #2549A8
112 163 119	imola-160 #70A377
189 230 103	imola-224 #BDE667
 62 112 143	imola-96 #3E708F
221 244 102	imola-240 #DDF466
 97 147 123	imola-144 #61937B
 43  83 162	imola-49 #2B53A2
 32  62 173	imola-17 #203EAD
163 213 107	imola-208 #A3D56B
 72 122 134	imola-112 #487A86
128 179 115	imola-176 #80B373
 54 103 151	imola-80 #366797
238 249 102	imola-248 #EEF966
 45  89 160	imola-57 #2D59A0
 35  68 170	imola-25 #2344AA
136 187 113	imola-184 #88BB71
205 237 102	imola-232 #CDED66
104 155 121	imola-152 #689B79
175 222 105	imola-216 #AFDE69
 40  78 165	imola-41 #284EA5
120 171 117	imola-168 #78AB75
 67 117 138	imola-104 #43758A
 77 127 130	imola-120 #4D7F82
 29  57 176	imola-9 #1D39B0
 90 140 125	imola-136 #5A8C7D
153 204 109	imola-200 #99CC6D
 58 108 147	imola-88 #3A6C93
 51  99 154	imola-73 #33639A
149 200 110	imola-196 #95C86E
140 191 112	imola-188 #8CBF70
181 226 104	imola-220 #B5E268
 39  76 166	imola-37 #274CA6
 74 125 132	imola-116 #4A7D84
108 159 120	imola-156 #6C9F78
230 246 102	imola-244 #E6F666
169 217 106	imola-212 #A9D96A
196 234 103	imola-228 #C4EA67
 80 130 129	imola-124 #508281
 86 137 126	imola-132 #56897E
158 208 108	imola-204 #9ED06C
 28  54 177	imola-5 #1C36B1
132 183 114	imola-180 #84B772
 50  96 155	imola-69 #32609B
 31  60 174	imola-13 #1F3CAE
116 167 118	imola-164 #74A776
 41  81 164	imola-45 #2951A4
 36  70 169	imola-29 #2446A9
 93 144 124	imola-140 #5D907C
 47  91 158	imola-61 #2F5B9E
 60 110 145	imola-92 #3C6E91
 65 115 140	imola-100 #41738C
 69 119 136	imola-108 #457788
 56 106 149	imola-84 #386A95
124 175 116	imola-172 #7CAF74
 33  65 172	imola-21 #2141AC
 44  86 161	imola-53 #2C56A1
101 151 122	imola-148 #65977A
213 240 102	imola-236 #D5F066
247 252 102	imola-252 #F7FC66
 53 101 152	imola-77 #356598
172 219 105	imola-214 #ACDB69
 52 100 153	imola-75 #346499
 55 104 150	imola-82 #376896
 92 142 124	imola-138 #5C8E7C
 59 109 146	imola-90 #3B6D92
178 224 104	imola-218 #B2E068
161 211 107	imola-206 #A1D36B
 99 149 122	imola-146 #63957A
 46  90 159	imola-59 #2E5A9F
126 177 115	imola-174 #7EB173
 43  85 162	imola-51 #2B55A2
 76 126 131	imola-118 #4C7E83
 66 116 139	imola-102 #42748B
 95 146 123	imola-142 #5F927B
251 254 102	imola-254 #FBFE66
147 198 110	imola-194 #93C66E
242 251 102	imola-250 #F2FB66
 41  80 164	imola-43 #2950A4
 85 135 127	imola-130 #55877F
 30  58 175	imola-11 #1E3AAF
142 193 111	imola-190 #8EC16F
110 161 119	imola-158 #6EA177
192 232 103	imola-226 #C0E867
234 248 102	imola-246 #EAF866
209 239 102	imola-234 #D1EF66
 61 111 144	imola-94 #3D6F90
 27  53 178	imola-3 #1B35B2
 81 132 128	imola-126 #518480
 39  77 166	imola-39 #274DA6
 42  82 163	imola-47 #2A52A3
 50  98 155	imola-71 #32629B
 34  66 171	imola-23 #2242AB
138 189 112	imola-186 #8ABD70
134 185 113	imola-182 #86B971
 88 138 125	imola-134 #588A7D
