Scientific Colour Map Categorical Palette
nuuk 100 scrambled Swatches
  5  89 140	nuuk-1 #05598C
254 254 178	nuuk-256 #FEFEB2
161 166 152	nuuk-129 #A1A698
 83 119 133	nuuk-65 #537785
195 194 133	nuuk-192 #C3C285
 45 100 131	nuuk-33 #2D6483
220 219 138	nuuk-224 #DCDB8A
125 143 145	nuuk-97 #7D8F91
181 181 145	nuuk-160 #B5B591
238 238 156	nuuk-240 #EEEE9C
188 187 139	nuuk-176 #BCBB8B
104 131 139	nuuk-81 #68838B
205 204 131	nuuk-208 #CDCC83
 63 108 130	nuuk-49 #3F6C82
 28  94 135	nuuk-17 #1C5E87
145 155 150	nuuk-113 #919B96
173 174 149	nuuk-145 #ADAE95
 94 125 136	nuuk-73 #5E7D88
184 184 142	nuuk-168 #B8B88E
 54 104 130	nuuk-41 #366882
191 191 136	nuuk-184 #BFBF88
211 211 133	nuuk-216 #D3D385
153 160 151	nuuk-121 #99A097
167 170 151	nuuk-137 #A7AA97
229 229 146	nuuk-232 #E5E592
 37  97 133	nuuk-25 #256185
135 149 148	nuuk-105 #879594
 19  92 137	nuuk-9 #135C89
199 199 132	nuuk-200 #C7C784
246 246 167	nuuk-248 #F6F6A7
 73 113 131	nuuk-57 #497183
115 137 142	nuuk-89 #73898E
177 178 147	nuuk-153 #B1B293
250 250 173	nuuk-252 #FAFAAD
 59 106 130	nuuk-45 #3B6A82
 41  98 132	nuuk-29 #296284
110 134 140	nuuk-85 #6E868C
140 152 149	nuuk-109 #8C9895
149 158 151	nuuk-117 #959E97
 99 128 137	nuuk-77 #638089
193 193 135	nuuk-188 #C1C187
 33  95 134	nuuk-21 #215F86
157 163 152	nuuk-125 #9DA398
120 140 144	nuuk-93 #788C90
130 146 147	nuuk-101 #829293
 50 102 130	nuuk-37 #326682
189 189 138	nuuk-180 #BDBD8A
 88 122 134	nuuk-69 #587A86
 68 111 130	nuuk-53 #446F82
 13  91 139	nuuk-5 #0D5B8B
170 172 150	nuuk-141 #AAAC96
202 201 131	nuuk-204 #CAC983
233 233 151	nuuk-236 #E9E997
 24  93 136	nuuk-13 #185D88
242 242 161	nuuk-244 #F2F2A1
164 168 151	nuuk-133 #A4A897
215 215 135	nuuk-220 #D7D787
208 207 132	nuuk-212 #D0CF84
224 224 142	nuuk-228 #E0E08E
 78 116 132	nuuk-61 #4E7484
186 186 141	nuuk-172 #BABA8D
175 176 148	nuuk-149 #AFB094
197 196 132	nuuk-196 #C5C484
183 183 144	nuuk-164 #B7B790
179 180 146	nuuk-157 #B3B492
155 162 152	nuuk-123 #9BA298
190 190 137	nuuk-182 #BEBE89
133 148 147	nuuk-103 #859493
 21  92 137	nuuk-11 #155C89
 96 126 136	nuuk-75 #607E88
206 206 131	nuuk-210 #CECE83
112 135 141	nuuk-87 #70878D
 35  96 133	nuuk-23 #236085
169 171 151	nuuk-139 #A9AB97
123 142 145	nuuk-95 #7B8E91
198 198 132	nuuk-198 #C6C684
171 173 150	nuuk-143 #ABAD96
213 213 134	nuuk-218 #D5D586
210 209 132	nuuk-214 #D2D184
 61 107 130	nuuk-47 #3D6B82
 43  99 131	nuuk-31 #2B6383
217 217 136	nuuk-222 #D9D988
183 183 143	nuuk-166 #B7B78F
  9  90 140	nuuk-3 #095A8C
236 235 153	nuuk-238 #ECEB99
162 167 152	nuuk-131 #A2A798
166 169 151	nuuk-135 #A6A997
178 179 147	nuuk-155 #B2B393
196 195 133	nuuk-194 #C4C385
227 226 144	nuuk-230 #E3E290
107 132 140	nuuk-83 #6B848C
 39  97 132	nuuk-27 #276184
192 192 135	nuuk-186 #C0C087
 91 123 135	nuuk-71 #5B7B87
222 222 140	nuuk-226 #DEDE8C
118 139 143	nuuk-91 #768B8F
203 203 131	nuuk-206 #CBCB83
 56 105 130	nuuk-43 #386982
 47 101 131	nuuk-35 #2F6583
240 240 158	nuuk-242 #F0F09E
